amount,REGION,PRODUCTID,FAMILY_ALIAS
644.1,East,1,Colas
33.9,East,1,Colas
645,East,1,Colas
675,East,1,Colas
306.16,East,1,Colas
405.84,East,1,Colas
7.56,East,1,Colas
733.32,East,1,Colas
7.56,East,1,Colas
7.56,East,1,Colas
204.7,East,1,Colas
240.3,East,1,Colas
445,East,1,Colas
136.8,East,1,Colas
346.56,East,1,Colas
428.64,East,1,Colas
855.4,East,1,Colas
54.6,East,1,Colas
331.8,East,1,Colas
458.2,East,1,Colas
650,East,1,Colas
623,East,1,Colas
496.29,East,1,Colas
90.87,East,1,Colas
111.84,East,1,Colas
257.45,East,1,Colas
13.55,East,1,Colas
258,East,1,Colas
270,East,1,Colas
122.12,East,1,Colas
161.88,East,1,Colas
3.02,East,1,Colas
292.94,East,1,Colas
3.02,East,1,Colas
3.02,East,1,Colas
81.88,East,1,Colas
96.12,East,1,Colas
178,East,1,Colas
54.6,East,1,Colas
138.32,East,1,Colas
171.08,East,1,Colas
342.16,East,1,Colas
21.84,East,1,Colas
132.72,East,1,Colas
183.28,East,1,Colas
260,East,1,Colas
249,East,1,Colas
198.09,East,1,Colas
36.27,East,1,Colas
44.64,East,1,Colas
89.3,East,1,Colas
4.7,East,1,Colas
90,East,1,Colas
94,East,1,Colas
42.57,East,1,Colas
56.43,East,1,Colas
1.05,East,1,Colas
101.85,East,1,Colas
1.05,East,1,Colas
1.05,East,1,Colas
28.52,East,1,Colas
33.48,East,1,Colas
62,East,1,Colas
19.05,East,1,Colas
48.26,East,1,Colas
59.69,East,1,Colas
119.38,East,1,Colas
7.62,East,1,Colas
46.2,East,1,Colas
63.8,East,1,Colas
91,East,1,Colas
87,East,1,Colas
68.87,East,1,Colas
12.61,East,1,Colas
15.52,East,1,Colas
48.45,East,1,Colas
2.55,East,1,Colas
51,East,1,Colas
51,East,1,Colas
22.79,East,1,Colas
30.21,East,1,Colas
0.53,East,1,Colas
51.41,East,1,Colas
0.53,East,1,Colas
0.53,East,1,Colas
12.19,East,1,Colas
14.31,East,1,Colas
26.5,East,1,Colas
7.65,East,1,Colas
19.38,East,1,Colas
23.97,East,1,Colas
47.94,East,1,Colas
3.06,East,1,Colas
21.42,East,1,Colas
29.58,East,1,Colas
51,East,1,Colas
51,East,1,Colas
36.21,East,1,Colas
6.63,East,1,Colas
8.16,East,1,Colas
1,East,1,Colas
1,East,1,Colas
0.01,East,1,Colas
0.97,East,1,Colas
0.01,East,1,Colas
0.01,East,1,Colas
0.42,East,1,Colas
0.58,East,1,Colas
1,East,1,Colas
0.71,East,1,Colas
0.13,East,1,Colas
0.16,East,1,Colas
1995.95,East,1,Colas
105.05,East,1,Colas
611.8,East,1,Colas
32.2,East,1,Colas
619,East,1,Colas
742,East,1,Colas
367.22,East,1,Colas
486.78,East,1,Colas
9.82,East,1,Colas
952.54,East,1,Colas
9.82,East,1,Colas
9.82,East,1,Colas
245.64,East,1,Colas
288.36,East,1,Colas
534,East,1,Colas
131.25,East,1,Colas
332.5,East,1,Colas
411.25,East,1,Colas
820.62,East,1,Colas
52.38,East,1,Colas
318.36,East,1,Colas
439.64,East,1,Colas
682,East,1,Colas
685,East,1,Colas
476.41,East,1,Colas
87.23,East,1,Colas
107.36,East,1,Colas
38.4,East,1,Colas
544,East,1,Colas
6.4,East,1,Colas
51.2,East,1,Colas
18.3,East,1,Colas
213.5,East,1,Colas
378.2,East,1,Colas
582.4,East,1,Colas
57.6,East,1,Colas
408.7,East,1,Colas
261.3,East,1,Colas
28.4,East,1,Colas
624.8,East,1,Colas
56.8,East,1,Colas
33.6,East,1,Colas
8.4,East,1,Colas
58.8,East,1,Colas
739.2,East,1,Colas
860,East,1,Colas
258,East,1,Colas
146.2,East,1,Colas
266.6,East,1,Colas
189.2,East,1,Colas
420,East,1,Colas
120,East,1,Colas
210,East,1,Colas
5.4,East,1,Colas
518.4,East,1,Colas
16.2,East,1,Colas
548.8,East,1,Colas
11.2,East,1,Colas
6.2,East,1,Colas
527,East,1,Colas
31,East,1,Colas
55.8,East,1,Colas
15.6,East,1,Colas
221,East,1,Colas
2.6,East,1,Colas
20.8,East,1,Colas
7.2,East,1,Colas
84,East,1,Colas
148.8,East,1,Colas
227.5,East,1,Colas
22.5,East,1,Colas
164.7,East,1,Colas
105.3,East,1,Colas
11.2,East,1,Colas
246.4,East,1,Colas
22.4,East,1,Colas
13.6,East,1,Colas
3.4,East,1,Colas
23.8,East,1,Colas
299.2,East,1,Colas
340,East,1,Colas
102,East,1,Colas
57.8,East,1,Colas
105.4,East,1,Colas
74.8,East,1,Colas
168,East,1,Colas
48,East,1,Colas
84,East,1,Colas
2.1,East,1,Colas
201.6,East,1,Colas
6.3,East,1,Colas
215.6,East,1,Colas
4.4,East,1,Colas
2.5,East,1,Colas
212.5,East,1,Colas
12.5,East,1,Colas
22.5,East,1,Colas
4.8,East,1,Colas
68,East,1,Colas
0.8,East,1,Colas
6.4,East,1,Colas
2.4,East,1,Colas
28,East,1,Colas
49.6,East,1,Colas
72.8,East,1,Colas
7.2,East,1,Colas
48.8,East,1,Colas
31.2,East,1,Colas
3.6,East,1,Colas
79.2,East,1,Colas
7.2,East,1,Colas
4.4,East,1,Colas
1.1,East,1,Colas
7.7,East,1,Colas
96.8,East,1,Colas
110,East,1,Colas
33,East,1,Colas
18.7,East,1,Colas
34.1,East,1,Colas
24.2,East,1,Colas
50.4,East,1,Colas
14.4,East,1,Colas
25.2,East,1,Colas
0.7,East,1,Colas
67.2,East,1,Colas
2.1,East,1,Colas
68.6,East,1,Colas
1.4,East,1,Colas
0.8,East,1,Colas
68,East,1,Colas
4,East,1,Colas
7.2,East,1,Colas
2.4,East,1,Colas
34,East,1,Colas
0.4,East,1,Colas
3.2,East,1,Colas
1.2,East,1,Colas
14,East,1,Colas
24.8,East,1,Colas
36.4,East,1,Colas
3.6,East,1,Colas
24.4,East,1,Colas
15.6,East,1,Colas
1.6,East,1,Colas
35.2,East,1,Colas
3.2,East,1,Colas
1.6,East,1,Colas
0.4,East,1,Colas
2.8,East,1,Colas
35.2,East,1,Colas
40,East,1,Colas
12,East,1,Colas
6.8,East,1,Colas
12.4,East,1,Colas
8.8,East,1,Colas
22.4,East,1,Colas
6.4,East,1,Colas
11.2,East,1,Colas
0.3,East,1,Colas
28.8,East,1,Colas
0.9,East,1,Colas
39.2,East,1,Colas
0.8,East,1,Colas
0.4,East,1,Colas
34,East,1,Colas
2,East,1,Colas
3.6,East,1,Colas
121.8,East,1,Colas
1725.5,East,1,Colas
20.3,East,1,Colas
162.4,East,1,Colas
36,East,1,Colas
510,East,1,Colas
6,East,1,Colas
48,East,1,Colas
18,East,1,Colas
210,East,1,Colas
372,East,1,Colas
637,East,1,Colas
63,East,1,Colas
488,East,1,Colas
312,East,1,Colas
36,East,1,Colas
792,East,1,Colas
72,East,1,Colas
40,East,1,Colas
10,East,1,Colas
70,East,1,Colas
880,East,1,Colas
800,East,1,Colas
240,East,1,Colas
136,East,1,Colas
248,East,1,Colas
176,East,1,Colas
392,East,1,Colas
112,East,1,Colas
196,East,1,Colas
5.5,East,1,Colas
528,East,1,Colas
16.5,East,1,Colas
617.4,East,1,Colas
12.6,East,1,Colas
6.2,East,1,Colas
527,East,1,Colas
31,East,1,Colas
55.8,East,1,Colas
28.67,East,4,"Root Beer"
32.33,East,4,"Root Beer"
61,East,4,"Root Beer"
6.3,East,4,"Root Beer"
52.92,East,4,"Root Beer"
3.78,East,4,"Root Beer"
66,East,4,"Root Beer"
69,East,4,"Root Beer"
