scenarioid,marketing,sales,cogs,TRANSDATE,region
2,31.2,261.3,105.3,"2000-04-27 00:00:00",East
1,42.57,306.16,122.12,"2000-04-15 00:00:00",East
1,56.43,405.84,161.88,"2000-04-18 00:00:00",East
2,48.8,408.7,164.7,"2000-04-09 00:00:00",East
1,7.62,54.6,21.84,"2000-08-23 00:00:00",East
2,18.7,146.2,57.8,"2000-08-11 00:00:00",East
2,24.2,189.2,74.8,"2000-08-23 00:00:00",East
2,33,258,102,"2000-08-06 00:00:00",East
2,34.1,266.6,105.4,"2000-08-22 00:00:00",East
1,119.38,855.4,342.16,"2000-08-07 00:00:00",East
2,0.8,6.2,2.5,"2000-12-03 00:00:00",East
2,4,31,12.5,"2000-12-18 00:00:00",East
2,7.2,55.8,22.5,"2000-12-28 00:00:00",East
1,12.61,90.87,36.27,"2000-12-19 00:00:00",East
1,15.52,111.84,44.64,"2000-12-20 00:00:00",East
1,68.87,496.29,198.09,"2000-12-12 00:00:00",East
2,68,527,212.5,"2000-12-15 00:00:00",East
2,2.4,18.3,7.2,"2000-02-10 00:00:00",East
2,28,213.5,84,"2000-02-15 00:00:00",East
2,49.6,378.2,148.8,"2000-02-25 00:00:00",East
1,90,645,258,"2000-02-25 00:00:00",East
2,0.8,6.4,2.6,"2000-01-14 00:00:00",East
1,4.7,33.9,13.55,"2000-01-15 00:00:00",East
2,4.8,38.4,15.6,"2000-01-05 00:00:00",East
2,6.4,51.2,20.8,"2000-01-16 00:00:00",East
2,68,544,221,"2000-01-07 00:00:00",East
1,89.3,644.1,257.45,"2000-01-09 00:00:00",East
1,19.05,136.8,54.6,"2000-07-04 00:00:00",East
1,48.26,346.56,138.32,"2000-07-09 00:00:00",East
1,59.69,428.64,171.08,"2000-07-19 00:00:00",East
2,110,860,340,"2000-07-01 00:00:00",East
2,1.1,8.4,3.4,"2000-06-07 00:00:00",East
2,4.4,33.6,13.6,"2000-06-05 00:00:00",East
2,7.7,58.8,23.8,"2000-06-11 00:00:00",East
1,28.52,204.7,81.88,"2000-06-03 00:00:00",East
1,33.48,240.3,96.12,"2000-06-05 00:00:00",East
1,62,445,178,"2000-06-11 00:00:00",East
2,96.8,739.2,299.2,"2000-06-13 00:00:00",East
2,7.2,57.6,22.5,"2000-03-26 00:00:00",East
2,72.8,582.4,227.5,"2000-03-19 00:00:00",East
1,94,675,270,"2000-03-12 00:00:00",East
1,1.05,7.56,3.02,"2000-05-01 00:00:00",East
1,1.05,7.56,3.02,"2000-05-18 00:00:00",East
1,1.05,7.56,3.02,"2000-05-17 00:00:00",East
2,3.6,28.4,11.2,"2000-05-03 00:00:00",East
2,7.2,56.8,22.4,"2000-05-06 00:00:00",East
2,79.2,624.8,246.4,"2000-05-05 00:00:00",East
1,101.85,733.32,292.94,"2000-05-06 00:00:00",East
2,1.4,11.2,4.4,"2000-11-12 00:00:00",East
2,68.6,548.8,215.6,"2000-11-05 00:00:00",East
1,87,623,249,"2000-11-05 00:00:00",East
2,0.7,5.4,2.1,"2000-10-05 00:00:00",East
2,2.1,16.2,6.3,"2000-10-08 00:00:00",East
2,67.2,518.4,201.6,"2000-10-07 00:00:00",East
1,91,650,260,"2000-10-02 00:00:00",East
2,14.4,120,48,"2000-09-08 00:00:00",East
2,25.2,210,84,"2000-09-17 00:00:00",East
1,46.2,331.8,132.72,"2000-09-08 00:00:00",East
2,50.4,420,168,"2000-09-03 00:00:00",East
1,63.8,458.2,183.28,"2000-09-14 00:00:00",East
2,100,60,120,"2000-04-15 00:00:00",East
1,113,66,125,"2000-04-05 00:00:00",East
1,57.72,28.86,64.01,"2000-08-27 00:00:00",East
1,98.28,49.14,108.99,"2000-08-12 00:00:00",East
2,140,70,160,"2000-08-09 00:00:00",East
2,4.4,2.4,5.2,"2000-12-27 00:00:00",East
1,9.76,5.28,10.8,"2000-12-06 00:00:00",East
2,9.9,5.4,11.7,"2000-12-05 00:00:00",East
1,20.74,11.22,22.95,"2000-12-10 00:00:00",East
2,28.6,15.6,33.8,"2000-12-11 00:00:00",East
2,67.1,36.6,79.3,"2000-12-14 00:00:00",East
1,91.5,49.5,101.25,"2000-12-15 00:00:00",East
2,12,6,13.2,"2000-02-26 00:00:00",East
2,14,7,15.4,"2000-02-12 00:00:00",East
2,37,18.5,40.7,"2000-02-17 00:00:00",East
2,37,18.5,40.7,"2000-02-24 00:00:00",East
1,110,61,121,"2000-02-09 00:00:00",East
2,9.9,5.5,11,"2000-01-19 00:00:00",East
2,17.1,9.5,19,"2000-01-03 00:00:00",East
1,44.65,28.67,49.35,"2000-01-08 00:00:00",East
1,50.35,32.33,55.65,"2000-01-09 00:00:00",East
2,63,35,70,"2000-01-10 00:00:00",East
1,32.34,16.94,35.64,"2000-07-13 00:00:00",East
1,35.28,18.48,38.88,"2000-07-12 00:00:00",East
1,79.38,41.58,87.48,"2000-07-07 00:00:00",East
2,130,70,150,"2000-07-19 00:00:00",East
1,9.17,5.04,10.08,"2000-06-23 00:00:00",East
1,10.48,5.76,11.52,"2000-06-22 00:00:00",East
1,39.3,21.6,43.2,"2000-06-02 00:00:00",East
2,56.4,32.9,61.1,"2000-06-06 00:00:00",East
2,63.6,37.1,68.9,"2000-06-16 00:00:00",East
1,72.05,39.6,79.2,"2000-06-18 00:00:00",East
1,6.78,3.78,7.5,"2000-03-26 00:00:00",East
1,11.3,6.3,12.5,"2000-03-09 00:00:00",East
2,12,7.2,14.4,"2000-03-08 00:00:00",East
2,39,23.4,46.8,"2000-03-28 00:00:00",East
2,49,29.4,58.8,"2000-03-11 00:00:00",East
1,94.92,52.92,105,"2000-03-18 00:00:00",East
2,100,60,110,"2000-05-14 00:00:00",East
1,109,69,121,"2000-05-25 00:00:00",East
1,1.09,0.61,1.21,"2000-11-28 00:00:00",East
1,2.18,1.22,2.42,"2000-11-02 00:00:00",East
2,9,4.5,9.9,"2000-11-26 00:00:00",East
2,21,10.5,23.1,"2000-11-12 00:00:00",East
1,47.96,26.84,53.24,"2000-11-07 00:00:00",East
1,57.77,32.33,64.13,"2000-11-10 00:00:00",East
2,70,35,77,"2000-11-19 00:00:00",East
2,5.4,3,6.6,"2000-10-14 00:00:00",East
2,37.8,21,46.2,"2000-10-07 00:00:00",East
2,46.8,26,57.2,"2000-10-07 00:00:00",East
1,113,69,125,"2000-10-07 00:00:00",East
2,13,7.8,14.3,"2000-09-04 00:00:00",East
2,87,52.2,95.7,"2000-09-03 00:00:00",East
1,110,68,121,"2000-09-04 00:00:00",East
2,23.4,214.5,85.8,"2000-04-24 00:00:00",East
2,36.6,335.5,134.2,"2000-04-07 00:00:00",East
1,66,564,239,"2000-04-24 00:00:00",East
2,9.8,74.2,35,"2000-08-12 00:00:00",East
2,60.2,455.8,215,"2000-08-08 00:00:00",East
1,74,543,266,"2000-08-12 00:00:00",East
2,60,640,240,"2000-12-21 00:00:00",East
1,70,657,250,"2000-12-10 00:00:00",East
2,4,44.8,16.8,"2000-02-05 00:00:00",East
1,23.94,220.4,86.64,"2000-02-20 00:00:00",East
1,39.06,359.6,141.36,"2000-02-03 00:00:00",East
2,46,515.2,193.2,"2000-02-18 00:00:00",East
2,50,480,210,"2000-01-21 00:00:00",East
1,63,490,228,"2000-01-19 00:00:00",East
2,1.4,10.6,5,"2000-07-15 00:00:00",East
