sales,region,SKU_ALIAS,marketing,UDAMKTSIZE
14.24,East,Cola,1.98,"Major Market"
28.48,East,Cola,3.96,"Major Market"
35.6,East,Cola,4.95,"Major Market"
249.2,East,Cola,25.2,"Major Market"
258.1,East,Cola,26.1,"Major Market"
382.7,East,Cola,38.7,"Major Market"
633.68,East,Cola,88.11,"Major Market"
910,East,Cola,127,"Major Market"
1130,East,Cola,120,"Major Market"
16.6,East,Cola,2,"Major Market"
16.6,East,Cola,2,"Major Market"
107.9,East,Cola,13,"Major Market"
688.9,East,Cola,83,"Major Market"
699,East,Cola,97,"Major Market"
19.35,East,Cola,2.7,"Major Market"
96.75,East,Cola,13.5,"Major Market"
212.85,East,Cola,29.7,"Major Market"
316.05,East,Cola,44.1,"Major Market"
800,East,Cola,80,"Major Market"
176.28,East,Cola,24.44,"Major Market"
501.72,East,Cola,69.56,"Major Market"
840,East,Cola,90,"Major Market"
9.12,East,Cola,1.27,"Major Market"
36.48,East,Cola,5.08,"Major Market"
250.8,East,Cola,26.4,"Major Market"
364.8,East,Cola,38.4,"Major Market"
524.4,East,Cola,55.2,"Major Market"
866.4,East,Cola,120.65,"Major Market"
11.1,East,Cola,1.2,"Major Market"
455.1,East,Cola,49.2,"Major Market"
436.1,East,Cola,60.76,"Major Market"
453.9,East,Cola,63.24,"Major Market"
643.8,East,Cola,69.6,"Major Market"
260.4,East,Cola,27.9,"Major Market"
579.6,East,Cola,62.1,"Major Market"
675,East,Cola,94,"Major Market"
37.6,East,Cola,4,"Major Market"
136.08,East,Cola,18.9,"Major Market"
241.92,East,Cola,33.6,"Major Market"
378,East,Cola,52.5,"Major Market"
902.4,East,Cola,96,"Major Market"
118.4,East,Cola,14.4,"Major Market"
299.04,East,Cola,41.76,"Major Market"
323.96,East,Cola,45.24,"Major Market"
621.6,East,Cola,75.6,"Major Market"
76.8,East,Cola,6.4,"Major Market"
84.5,East,Cola,11.83,"Major Market"
278.4,East,Cola,23.2,"Major Market"
288,East,Cola,24,"Major Market"
316.8,East,Cola,26.4,"Major Market"
240.5,East,Cola,33.67,"Major Market"
325,East,Cola,45.5,"Major Market"
19.6,East,Cola,2,"Major Market"
165.9,East,Cola,23.1,"Major Market"
173.8,East,Cola,24.2,"Major Market"
173.8,East,Cola,24.2,"Major Market"
245,East,Cola,25,"Major Market"
276.5,East,Cola,38.5,"Major Market"
715.4,East,Cola,73,"Major Market"
180,East,Cola,20,"Major Market"
178,East,Cola,25,"Major Market"
44.4,East,Cola,3.7,"Major Market"
75.6,East,Cola,6.3,"Major Market"
120,East,Cola,17,"Major Market"
2.7,East,Cola,0.3,"Major Market"
6.3,East,Cola,0.7,"Major Market"
7.2,East,Cola,0.8,"Major Market"
23.76,East,Cola,3.36,"Major Market"
73.8,East,Cola,8.2,"Major Market"
75.24,East,Cola,10.64,"Major Market"
74.1,East,Cola,10.53,"Major Market"
91.2,East,Cola,9.6,"Major Market"
98.8,East,Cola,10.4,"Major Market"
115.9,East,Cola,16.47,"Major Market"
32.3,East,Cola,3.4,"Major Market"
64.6,East,Cola,6.8,"Major Market"
93.1,East,Cola,9.8,"Major Market"
190,East,Cola,27,"Major Market"
10,East,Cola,1,"Major Market"
15.92,East,Cola,2.24,"Major Market"
20,East,Cola,2,"Major Market"
42,East,Cola,4.2,"Major Market"
57.71,East,Cola,8.12,"Major Market"
61.69,East,Cola,8.68,"Major Market"
63.68,East,Cola,8.96,"Major Market"
128,East,Cola,12.8,"Major Market"
76,East,Cola,8,"Major Market"
76,East,Cola,10.8,"Major Market"
114,East,Cola,12,"Major Market"
114,East,Cola,16.2,"Major Market"
22,East,Cola,2.2,"Major Market"
21.23,East,Cola,2.97,"Major Market"
23.16,East,Cola,3.24,"Major Market"
28,East,Cola,2.8,"Major Market"
32,East,Cola,3.2,"Major Market"
69.48,East,Cola,9.72,"Major Market"
79.13,East,Cola,11.07,"Major Market"
118,East,Cola,11.8,"Major Market"
11.4,East,Cola,1.2,"Major Market"
49.4,East,Cola,5.2,"Major Market"
129.2,East,Cola,13.6,"Major Market"
190,East,Cola,27,"Major Market"
10.12,East,Cola,1.43,"Major Market"
18,East,Cola,2,"Major Market"
19.32,East,Cola,2.73,"Major Market"
72,East,Cola,8,"Major Market"
62.56,East,Cola,8.84,"Major Market"
4.8,East,Cola,0,"Major Market"
20.7,East,Cola,2.76,"Major Market"
24.8,East,Cola,0,"Major Market"
50.4,East,Cola,0,"Major Market"
69.3,East,Cola,9.24,"Major Market"
7.8,East,Cola,0.6,"Major Market"
11.88,East,Cola,1.71,"Major Market"
15.6,East,Cola,1.2,"Major Market"
29.04,East,Cola,4.18,"Major Market"
35.1,East,Cola,2.7,"Major Market"
71.5,East,Cola,5.5,"Major Market"
91.08,East,Cola,13.11,"Major Market"
5.84,East,Cola,0.76,"Major Market"
29.2,East,Cola,3.8,"Major Market"
270,East,Cola,30,"Major Market"
256.96,East,Cola,33.44,"Major Market"
10.5,East,Cola,1,"Major Market"
10.5,East,Cola,1,"Major Market"
18.9,East,Cola,1.8,"Major Market"
170.1,East,Cola,16.2,"Major Market"
225,East,Cola,29,"Major Market"
260,East,Cola,30,"Major Market"
289,East,Cola,37,"Major Market"
32.5,East,Cola,4.2,"Major Market"
35.75,East,Cola,4.62,"Major Market"
63,East,Cola,6.3,"Major Market"
237,East,Cola,23.7,"Major Market"
256.75,East,Cola,33.18,"Major Market"
27.9,East,Cola,3.6,"Major Market"
27.9,East,Cola,3.6,"Major Market"
34.8,East,Cola,3.6,"Major Market"
99.2,East,Cola,12.8,"Major Market"
116,East,Cola,12,"Major Market"
139.2,East,Cola,14.4,"Major Market"
155,East,Cola,20,"Major Market"
27,East,Cola,3.48,"Major Market"
33.75,East,Cola,4.35,"Major Market"
69.3,East,Cola,6.6,"Major Market"
140.7,East,Cola,13.4,"Major Market"
164.25,East,Cola,21.17,"Major Market"
11.6,East,Cola,1.5,"Major Market"
18.56,East,Cola,2.4,"Major Market"
33,East,Cola,3,"Major Market"
48.72,East,Cola,6.3,"Major Market"
92.4,East,Cola,8.4,"Major Market"
94.6,East,Cola,8.6,"Major Market"
153.12,East,Cola,19.8,"Major Market"
290,East,Cola,30,"Major Market"
309,East,Cola,40,"Major Market"
5.2,East,Cola,0.6,"Major Market"
254.8,East,Cola,29.4,"Major Market"
275,East,Cola,36,"Major Market"
52,East,Cola,6.72,"Major Market"
81.2,East,Cola,8.4,"Major Market"
208.8,East,Cola,21.6,"Major Market"
273,East,Cola,35.28,"Major Market"
75.12,East,Cola,9.84,"Major Market"
106.42,East,Cola,13.94,"Major Market"
131.46,East,Cola,17.22,"Major Market"
260,East,Cola,20,"Major Market"
36,East,Cola,3,"Major Market"
49.02,East,Cola,6.27,"Major Market"
204,East,Cola,17,"Major Market"
208.98,East,Cola,26.73,"Major Market"
26.64,East,Cola,3.48,"Major Market"
79.92,East,Cola,10.44,"Major Market"
115.44,East,Cola,15.08,"Major Market"
210,East,Cola,20,"Major Market"
8.1,East,Cola,0.9,"Major Market"
16.2,East,Cola,1.8,"Major Market"
51.3,East,Cola,5.7,"Major Market"
194.4,East,Cola,21.6,"Major Market"
286,East,Cola,37,"Major Market"
7.6,East,Cola,0.8,"Major Market"
7.6,East,Cola,0.8,"Major Market"
32.3,East,Cola,3.4,"Major Market"
28.73,East,Cola,3.77,"Major Market"
142.5,East,Cola,15,"Major Market"
192.27,East,Cola,25.23,"Major Market"
51.3,East,Cola,5.4,"Major Market"
138.7,East,Cola,14.6,"Major Market"
200,East,Cola,26,"Major Market"
